V(net-_d4-pin_1_):        428.727V
V(net-_d1-pin_1_):        144V
V(net-_d2-pin_1_):        284.727V
V(net-_d3-pin_1_):        356.727V

I(r4):                    363.636uA
I(r3):                    363.636uA
I(r5):                    363.636uA
I(r16):                   0A
I(r1):                    363.636uA
I(r2):                    363.636uA
I(c1):                    0A
I(c2):                    0A
I(c3):                    -0.00248659fA
I(r13):                   0A
I(r10):                   363.636uA
I(r18):                   0A
I(r12):                   363.636uA
I(r11):                   363.636uA
I(r14):                   -0.000375935fA
I(r15):                   0A
I(r8):                    363.636uA
I(r7):                    363.636uA
I(r6):                    363.636uA
I(r9):                    363.636uA
I(r17):                   -363.636uA
I(c4):                    0A
I(c5):                    0A
I(r19):                   0A
I(vhv1):                  -363.636uA
V(net-_j1-in_):           0V
V(net-_hv1-in_):          1kV
V(net-_d5-pin_1_):        556.364V
V(net-_d6-pin_1_):        636.364V
V(net-_d7-pin_1_):        716.364V
V(net-_d10-pin_1_):       956.364V
V(net-_d9-pin_1_):        876.364V
V(net-_p1-pin_1_):        996.364V
V(net-_d8-pin_1_):        796.364V
V(net-_c3-pad2_):         996.364V
V(net-_c2-pad2_):         956.364V
V(net-_c1-pad2_):         876.364V
V(net-_c1-pad1_):         796.364V
V(net-_g1-pin_1_):        40V
V(net-_k1-pin_1_):        0V
V(net-_d4-pin_1_):        476.364V
V(net-_d1-pin_1_):        160V
V(net-_d2-pin_1_):        316.364V
V(net-_d3-pin_1_):        396.364V
